case,station,model,mode,completed,epochs,exit_code,wall_seconds,ar_attempt_epochs,wl_passed_epochs,l1_passed_epochs,reported_newly_fixed_sum,held_integer_rank_peak,newly_fixed_epochs,rms_3d_m,final_enu_m,effective_search,general_rows_total,named_recovered_total,reference_difference_m,errors,alarms,trace,integer_factor_commits,integer_factor_rows,integer_factor_l1_rows,held_positive_epochs
r48u_20260914_DYNG_UDUC_ils_shadow_fix1,DYNG,UDUC,ils_shadow,True,55,0,10.039671886945143,27,26,0,0,0,0,0.6426030521264907,"[0.0144822, -0.133583, 0.457074]",['LAMBDA_ALT'],114,100,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_ils_shadow_fix1/Network-r48u_20260914_DYNG_UDUC_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_DYNG_UDUC_ils_feedback_fix1,DYNG,UDUC,ils_feedback,True,55,0,9.868780525051989,27,1,0,12,3,4,0.6266824835860754,"[0.0206022, -0.129497, 0.434497]",['LAMBDA_ALT'],3,3,4.3041192689816266e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_DYNG_UDUC_ils_feedback_fix1/Network-r48u_20260914_DYNG_UDUC_ils_feedback_fix1-202419900.TRACE,1,3,0,26
r48u_20260914_NICO_UDUC_float_fix1,NICO,UDUC,float,True,55,0,9.89630711695645,0,0,0,0,0,0,0.34874662522429695,"[0.129332, -0.0443036, -0.0754722]",[],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_float_fix1/Network-r48u_20260914_NICO_UDUC_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_UDUC_round_shadow_fix1,NICO,UDUC,round_shadow,True,55,0,10.299181785085239,27,22,0,0,0,0,0.34874662522429695,"[0.129332, -0.0443036, -0.0754722]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_round_shadow_fix1/Network-r48u_20260914_NICO_UDUC_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_UDUC_round_feedback_fix1,NICO,UDUC,round_feedback,True,55,0,10.153993465006351,27,1,0,66,3,22,0.34926016307969243,"[0.129706, -0.0441809, -0.0764793]",['ROUND'],0,0,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_round_feedback_fix1/Network-r48u_20260914_NICO_UDUC_round_feedback_fix1-202419900.TRACE,1,3,0,22
r48u_20260914_NICO_UDUC_ils_shadow_fix1,NICO,UDUC,ils_shadow,True,55,0,10.01150362403132,27,25,0,0,0,0,0.34874662522429695,"[0.129332, -0.0443036, -0.0754722]",['LAMBDA_ALT'],98,84,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_ils_shadow_fix1/Network-r48u_20260914_NICO_UDUC_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_NICO_UDUC_ils_feedback_fix1,NICO,UDUC,ils_feedback,True,55,0,10.068549097981304,27,3,0,55,4,20,0.34984347222232626,"[0.12888, -0.0437987, -0.0764548]",['LAMBDA_ALT'],16,5,4.055105116967148e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_NICO_UDUC_ils_feedback_fix1/Network-r48u_20260914_NICO_UDUC_ils_feedback_fix1-202419900.TRACE,3,4,0,26
r48u_20260914_BREW_UDUC_float_fix1,BREW,UDUC,float,True,55,0,9.924691907013766,0,0,0,0,0,0,0.28260719134839973,"[0.0950246, 0.0189214, 0.0164348]",[],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_float_fix1/Network-r48u_20260914_BREW_UDUC_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_UDUC_round_shadow_fix1,BREW,UDUC,round_shadow,True,55,0,10.562847897061147,38,19,5,0,0,0,0.28260719134839973,"[0.0950246, 0.0189214, 0.0164348]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_round_shadow_fix1/Network-r48u_20260914_BREW_UDUC_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_UDUC_round_feedback_fix1,BREW,UDUC,round_feedback,True,55,0,10.516035192995332,38,1,1,13,3,6,0.27934171907611394,"[0.0818044, 0.0237436, 0.0110957]",['ROUND'],0,0,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_round_feedback_fix1/Network-r48u_20260914_BREW_UDUC_round_feedback_fix1-202419900.TRACE,2,3,1,20
r48u_20260914_BREW_UDUC_ils_shadow_fix1,BREW,UDUC,ils_shadow,True,55,0,10.266236484982073,38,26,4,0,0,0,0.28260719134839973,"[0.0950246, 0.0189214, 0.0164348]",['LAMBDA_ALT'],51,42,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_ils_shadow_fix1/Network-r48u_20260914_BREW_UDUC_ils_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_BREW_UDUC_ils_feedback_fix1,BREW,UDUC,ils_feedback,True,55,0,10.415287310956046,38,2,1,18,3,17,0.28077142880692413,"[0.0818042, 0.0237435, 0.0110958]",['LAMBDA_ALT'],3,3,7.694108359351668e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_BREW_UDUC_ils_feedback_fix1/Network-r48u_20260914_BREW_UDUC_ils_feedback_fix1-202419900.TRACE,3,3,1,27
r48u_20260914_MARS_UDUC_float_fix1,MARS,UDUC,float,True,55,0,10.39572974096518,0,0,0,0,0,0,0.3850299004159496,"[0.0194424, 0.071585, -0.0836817]",[],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_float_fix1/Network-r48u_20260914_MARS_UDUC_float_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_UDUC_round_shadow_fix1,MARS,UDUC,round_shadow,True,55,0,10.6980846329825,27,21,0,0,0,0,0.3850299004159496,"[0.0194424, 0.071585, -0.0836817]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_round_shadow_fix1/Network-r48u_20260914_MARS_UDUC_round_shadow_fix1-202419900.TRACE,0,0,0,0
r48u_20260914_MARS_UDUC_round_feedback_fix1,MARS,UDUC,round_feedback,True,55,0,10.675163780106232,27,1,0,27,1,27,0.37977287534897997,"[0.0131466, 0.0735021, -0.0844631]",['ROUND'],0,0,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_round_feedback_fix1/Network-r48u_20260914_MARS_UDUC_round_feedback_fix1-202419900.TRACE,1,1,0,27
r48u_20260914_MARS_UDUC_ils_shadow_fix1,MARS,UDUC,ils_shadow,True,55,0,10.408250632928684,27,27,0,0,0,0,0.3850299004159496,"[0.0194424, 0.071585, -0.0836817]",['LAMBDA_ALT'],77,77,7.195290626139301e-07,[],"{'DGEMV': 0, 'AUTHORITATIVE MEASUREMENT TRANSACTION REJECTED': 0, 'AUTHORITATIVE PREDICTION TRANSACTION REJECTED': 0}",/mnt/d/GINAN_R20/inputData/outputs/r48u_20260914_MARS_UDUC_ils_shadow_fix1/Network-r48u_20260914_MARS_UDUC_ils_shadow_fix1-202419900.TRACE,0,0,0,0
