station,mode,time,stage,reference,satellite,mean,variance,fractional,perr,selected,provisional_selected
MARS,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,G12,G24,237.497,2.65728,0.497204,0.830919,0,0
MARS,ar,2024-07-17T00:22:30,USER_IF_L1_SD_CONDITIONAL,G12,G25,138.946,6.37679,-0.0541462,0.887445,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G06,19.9624,0.116051,-0.0375565,0.190554,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G11,13.0652,0.451473,0.0651522,0.58115,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G19,19.9968,0.0815523,-0.00322679,0.0853271,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G24,-8.03461,0.0210921,-0.0346053,1.9302e-05,0,1
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G25,4.90086,0.022013,-0.0991391,0.000112313,0,1
MARS,ar,2024-07-17T00:23:00,USER_IF_WL_SD,G12,G32,4.96604,0.0326931,-0.0339619,0.00108564,0,1
MARS,ar,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,G12,G24,237.149,2.5642,0.149239,0.824213,0,0
MARS,ar,2024-07-17T00:23:00,USER_IF_L1_SD_CONDITIONAL,G12,G25,138.081,6.23588,0.0806867,0.886271,0,0
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G12,G06,19.97,0.10744,-0.029962,0.164779,0,0
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G12,G19,19.9682,0.076344,-0.0317947,0.0717629,0,0
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G12,G24,-8.0354,0.0196338,-0.0353984,8.46856e-06,1,1
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G12,G25,4.90013,0.020437,-0.0998678,5.64629e-05,1,1
MARS,ar,2024-07-17T00:23:30,USER_IF_WL_SD,G12,G32,4.96252,0.0303292,-0.0374815,0.000629559,1,1
MARS,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,G12,G24,236.923,2.47748,-0.0773404,0.820884,0,0
MARS,ar,2024-07-17T00:23:30,USER_IF_L1_SD_CONDITIONAL,G12,G25,137.483,6.1506,0.483191,0.886524,0,0
